,Day,Time,LMP,peak_hour,bypass_pretreatment_flow,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,intake.feed_cost,intake.chemical_cost,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.power_consumption,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,pretreatment.inlet_flowrate,pretreatment.leftover_flow,pretreatment.uf_pumps[1].op_mode,pretreatment.uf_pumps[1].startup,pretreatment.uf_pumps[1].shutdown,pretreatment.uf_pumps[1].energy_intensity,pretreatment.uf_pumps[1].power_consumption,pretreatment.uf_pumps[1].recovery,pretreatment.uf_pumps[1].feed_flowrate,pretreatment.uf_pumps[1].product_flowrate,pretreatment.uf_pumps[1].reject_flowrate,pretreatment.uf_pumps[2].op_mode,pretreatment.uf_pumps[2].startup,pretreatment.uf_pumps[2].shutdown,pretreatment.uf_pumps[2].energy_intensity,pretreatment.uf_pumps[2].power_consumption,pretreatment.uf_pumps[2].recovery,pretreatment.uf_pumps[2].feed_flowrate,pretreatment.uf_pumps[2].product_flowrate,pretreatment.uf_pumps[2].reject_flowrate,pretreatment.uf_pumps[3].op_mode,pretreatment.uf_pumps[3].startup,pretreatment.uf_pumps[3].shutdown,pretreatment.uf_pumps[3].energy_intensity,pretreatment.uf_pumps[3].power_consumption,pretreatment.uf_pumps[3].recovery,pretreatment.uf_pumps[3].feed_flowrate,pretreatment.uf_pumps[3].product_flowrate,pretreatment.uf_pumps[3].reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,reverse_osmosis.ro_skid[4].op_mode,reverse_osmosis.ro_skid[4].startup,reverse_osmosis.ro_skid[4].shutdown,reverse_osmosis.ro_skid[4].energy_intensity,reverse_osmosis.ro_skid[4].power_consumption,reverse_osmosis.ro_skid[4].recovery,reverse_osmosis.ro_skid[4].feed_flowrate,reverse_osmosis.ro_skid[4].product_flowrate,reverse_osmosis.ro_skid[4].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,posttreatment.chemical_cost,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,brine_discharge.brine_cost,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
132,1,133,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
133,1,134,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
134,1,135,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
135,1,136,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
136,1,137,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.41E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
137,1,138,0.13994,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.41E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,153.0307393
138,1,139,0.13994,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.41E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,153.0307393
139,1,140,0.13994,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.41E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,153.0307393
140,1,141,0.13994,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.41E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,153.0307393
141,1,142,0.13994,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,153.0307393
142,1,143,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
143,1,144,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
144,1,145,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
145,1,146,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
146,1,147,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
147,1,148,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
148,1,149,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
149,1,150,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
150,1,151,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
151,1,152,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
152,1,153,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
153,1,154,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
154,1,155,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
155,1,156,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
156,1,157,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
157,1,158,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
158,1,159,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
159,1,160,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
160,1,161,0.1016,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,111.1042097
161,1,162,0.13994,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,153.0307393
162,1,163,0.13994,0,0,1093.545371,,,,0,0,1,1875,1875,0,300,62.25,0,,,287.7324316,1875,1800,75,1875,0,1,0,0,0.157919479,119.8970694,0.96,790.8636799,759.2291327,31.6345472,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,1,0,0,0.161260627,83.91768111,0.96,542.06816,520.3854336,21.6827264,,,,637.6479399,1800,1665,135,1800,3.18E-12,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,-5.68E-14,90.3,3,1093.545371,0,0,0,153.0307393
